Classifier,Featurelist,CV_Score,PublicAMS,PrivateAMS,time_train,time_pred,Settings,None,None,None,None,None,None,None,None,None,None,None,None
kNN,header_all,0.81581,2.92694784628158,2.94716314080671,125.130254983901,410.252610921859,threshold=0.7777,k=51,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_all,0.81467,2.95460796949002,2.95770011010004,124.499169111251,488.037131071090,threshold=0.7777,k=101,p=1,None,None,None,None,None,None,None,None,None,None
log Reg CV,header_1,0.71096,1.90428029444330,1.91592657358990,9.03252100944519,0.19603395462036,threshold=0.3333,Cs=1,penalty=l2,scoring = 'roc_a,None,None,None,None,None,None,None,None,None
log Reg CV,header_2,0.71561,1.85962842198584,1.88151562168595,7.61244106292724,0.18101000785827,threshold=0.4444,Cs=1,penalty=l2,scoring = 'roc_a,None,None,None,None,None,None,None,None,None
log Reg CV,header_3,0.73507,1.96216755909995,1.98149424825609,30.7107720375061,0.26301503181457,threshold=0.4444,Cs=1,penalty=l2,scoring = 'roc_a,None,None,None,None,None,None,None,None,None
log Reg CV,header_4,0.72945,1.93745590199141,1.94947840781219,18.5241122245788,0.22100877761840,threshold=0.4444,Cs=1,penalty=l2,scoring = 'roc_a,None,None,None,None,None,None,None,None,None
log Reg CV,header_5,0.71724,1.91330183846870,1.92958936584002,10.6295549869537,0.20305299758911,threshold=0.4444,Cs=1,penalty=l2,scoring = 'roc_a,None,None,None,None,None,None,None,None,None
log Reg CV,header_6,0.71229,1.90373098667766,1.91234923740377,9.74556183815002,0.20105504989624,threshold=0.3333,Cs=1,penalty=l2,scoring = 'roc_a,None,None,None,None,None,None,None,None,None
log Reg CV,header_7,0.71543,1.90457830384415,1.91983498743473,17.7500219345092,0.21605587005615,threshold=0.3333,Cs=1,penalty=l2,scoring = 'roc_a,None,None,None,None,None,None,None,None,None
log Reg CV,header_8,0.71604,1.88580196451074,1.90992357927474,11.4716608524322,0.20905399322509,threshold=0.4444,Cs=1,penalty=l2,scoring = 'roc_a,None,None,None,None,None,None,None,None,None
log Reg CV,header_x,0.73904,1.93772208955123,1.95067466856019,96.5886118412017,0.32697606086730,threshold=0.3333,Cs=1,penalty=l2,scoring = 'roc_a,None,None,None,None,None,None,None,None,None
log Reg CV,header_all,0.73902,1.93474826059572,1.94774527597148,113.796559095382,0.38406395912170,threshold=0.3333,Cs=1,penalty=l2,scoring = 'roc_a,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82064,3.15910420862371,3.17876154839495,1.20906782150268,79.2142810821533,threshold=0.7777,k=161,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82038,3.17290919218830,3.17559824207105,1.16510891914367,84.4718699455261,threshold=0.7777,k=181,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82,3.16795446914627,3.17896517845415,1.24707198143005,93.4153859615325,threshold=0.7777,k=201,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.81986,3.15830484629297,3.17774722997953,1.24007010459899,97.3626730442047,threshold=0.7777,k=221,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.81897,3.13982153747039,3.16564478590442,1.35210299491882,58.2873370647430,threshold=0.7777,k=161,p=2,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.81911,3.14695615879895,3.16393578937138,1.27907395362854,63.3066449165344,threshold=0.7777,k=181,p=2,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.81882,3.13305442199412,3.15021833246889,1.36508393287658,71.8731369972229,threshold=0.7777,k=201,p=2,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.81816,3.14764562234714,3.15714832457139,1.33113098144531,80.1535658836364,threshold=0.7777,k=221,p=2,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82143,3.14657881262548,3.16526166310429,1.22605109214782,60.8304851055145,threshold=0.7777,k=101,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82106,3.14778701054184,3.16118509313573,1.16907000541687,61.1014809608459,threshold=0.7777,k=103,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82118,3.14698056813295,3.15934718201642,1.18103599548339,63.4456970691680,threshold=0.7777,k=105,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82111,3.14016125595957,3.16002034812699,1.25207400321960,63.0246720314025,threshold=0.7777,k=107,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82099,3.14584236603182,3.15956375553256,1.16703391075134,59.830482006073,threshold=0.7777,k=109,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82084,3.15502299013739,3.15856385915616,1.19501185417175,60.5925531387329,threshold=0.7777,k=111,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,821,3.14665019897939,3.16505580851181,1.19512391090393,64.0616340637207,threshold=0.7777,k=113,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82086,3.14936840185034,3.16958784679489,1.17606806755065,65.7278330326080,threshold=0.7777,k=115,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82085,3.14228244602328,3.16123752309642,1.17206788063049,66.7848720550537,threshold=0.7777,k=117,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.8209,3.14609186662968,3.16799030844413,1.27211904525756,64.3777248859405,threshold=0.7777,k=119,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.8209,3.15001955606001,3.16649331611908,1.17708802223205,67.0738880634307,threshold=0.7777,k=121,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82087,3.14475061851697,3.17748316759187,1.18105506896972,67.1688280105590,threshold=0.7777,k=123,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82079,3.13138277171273,3.16891229241615,1.19106888771057,69.0579390525817,threshold=0.7777,k=125,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82062,3.14534519653998,3.16784748088562,1.16510701179504,68.2338929176330,threshold=0.7777,k=127,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82059,3.14866449900768,3.16844807616686,1.18311691284179,69.0719730854034,threshold=0.7777,k=129,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82058,3.15129178471376,3.17390315859373,1.17307090759277,69.8880460262298,threshold=0.7777,k=131,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82057,3.15386945561961,3.17136579223657,1.18707323074340,71.2521078586578,threshold=0.7777,k=133,p=1,None,None,None,None,None,None,None,None,None,None
